School	City	County	Private_Public	College	Applied	Admitted	Enrolled	Admit_Rate_%	Rank_Within_Type	Overall_Rank	African_American_Applied	African_American_Admitted	African_American_Enrolled	African_American_Admit_Rate_%	American_Indian_Applied	American_Indian_Admitted	American_Indian_Enrolled	American_Indian_Admit_Rate_%	Hispanic_Latinx_Applied	Hispanic_Latinx_Admitted	Hispanic_Latinx_Enrolled	Hispanic_Latinx_Admit_Rate_%	Pacific_Islander_Applied	Pacific_Islander_Admitted	Pacific_Islander_Enrolled	Pacific_Islander_Admit_Rate_%	Asian_Applied	Asian_Admitted	Asian_Enrolled	Asian_Admit_Rate_%	White_Applied	White_Admitted	White_Enrolled	White_Admit_Rate_%	Domestic_Unknown_Applied	Domestic_Unknown_Admitted	Domestic_Unknown_Enrolled	Domestic_Unknown_Admit_Rate_%	International_Applied	International_Admitted	International_Enrolled	International_Admit_Rate_%
ASPIRE LIONEL WILSON COLG PREP	Oakland	Alameda	Public	UC Berkeley	15	3	0	20.0	100	100	0	0	0	0.0	0	0	0	0.0	15	3	0	20.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
HAYWARD HIGH SCHOOL	Hayward	Alameda	Public	UC Berkeley	60	12	6	20.0	6	13	0	0	0	0.0	0	0	0	0.0	35	7	4	20.0	0	0	0	0.0	14	5	0	35.71	6	0	0	0.0	0	0	0	0.0	0	0	0	0.0
ARROYO HIGH SCHOOL	San Lorenzo	Alameda	Public	UC Berkeley	103	20	16	19.42	8	16	0	0	0	0.0	0	0	0	0.0	22	0	0	0.0	0	0	0	0.0	74	16	13	21.62	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
HENRY M GUNN SENIOR HIGH SCHL	Palo Alto	Santa Clara	Public	UC Berkeley	294	57	33	19.39	9	17	7	0	0	0.0	0	0	0	0.0	16	0	0	0.0	0	0	0	0.0	173	31	15	17.92	56	8	4	14.29	34	14	12	41.18	6	0	0	0.0
CASTILLEJA SCHOOL	Palo Alto	Santa Clara	Private	UC Berkeley	37	7	0	18.92	9	18	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	22	5	0	22.73	8	0	0	0.0	0	0	0	0.0	0	0	0	0.0
GILROY HIGH SCHOOL	Gilroy	Santa Clara	Public	UC Berkeley	16	3	0	18.75	100	100	0	0	0	0.0	0	0	0	0.0	9	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
PIEDMONT HIGH SCHOOL	Piedmont	Alameda	Public	UC Berkeley	92	17	8	18.48	10	19	0	0	0	0.0	0	0	0	0.0	8	0	0	0.0	0	0	0	0.0	27	4	3	14.81	48	10	4	20.83	7	3	0	42.86	0	0	0	0.0
PALO ALTO SENIOR HIGH SCHOOL	Palo Alto	Santa Clara	Public	UC Berkeley	268	49	33	18.28	11	20	0	0	0	0.0	0	0	0	0.0	22	0	0	0.0	0	0	0	0.0	135	28	24	20.74	72	9	5	12.5	30	10	3	33.33	6	0	0	0.0
OAKLAND HIGH SCHOOL	Oakland	Alameda	Public	UC Berkeley	83	15	9	18.07	12	21	18	0	0	0.0	0	0	0	0.0	24	5	3	20.83	0	0	0	0.0	38	8	5	21.05	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
CUPERTINO HIGH SCHOOL	Cupertino	Santa Clara	Public	UC Berkeley	293	52	39	17.75	13	22	0	0	0	0.0	0	0	0	0.0	7	0	0	0.0	0	0	0	0.0	218	43	33	19.72	18	0	0	0.0	28	7	4	25.0	20	0	0	0.0
